G,L2,R2,W3,cg_R1,cg_R2,S11_Linear
140,34,16,19,30,20,0.29675918
140,34,16,19,30,27,0.30072688
140,34,16,19,30,34,0.30669104
140,34,16,19,30,41,0.3145694
140,34,16,19,30,48,0.32380909
140,34,16,19,30,55,0.33361586
140,34,16,14,30,20,0.28697218
140,34,16,14,30,27,0.29139362
140,34,16,14,30,34,0.29716293
140,34,16,14,30,41,0.30391007
140,34,16,14,30,48,0.31100492
140,34,16,14,30,55,0.31747845
140,34,16,9,30,20,0.27684906
140,34,16,9,30,27,0.28070918
140,34,16,9,30,34,0.28545974
140,34,16,9,30,41,0.29050311
140,34,18,9,30,48,0.29529128
140,34,18,9,30,55,0.30021665
140,34,18,19,30,20,0.2910202
140,34,18,19,30,27,0.29433591
140,34,18,19,30,34,0.29970202
140,34,18,19,30,41,0.307498
140,34,18,19,30,48,0.31709428
140,34,18,19,30,55,0.32782744
140,34,18,14,30,20,0.28187534
140,34,18,14,30,27,0.28525275
140,34,18,14,30,34,0.29120727
140,34,18,14,30,41,0.29745233
140,34,18,14,30,48,0.30529473
140,34,18,14,30,55,0.31256035
140,34,18,9,30,20,0.2720988
140,34,18,9,30,27,0.27579921
140,34,18,9,30,34,0.2800068
140,34,18,9,30,41,0.28568183
140,34,18,9,30,48,0.29038028
140,34,18,9,30,55,0.29535051
140,34,20,19,30,20,0.28434725
140,34,20,19,30,27,0.2864977
140,34,20,19,30,34,0.29090084
140,34,20,19,30,41,0.29807541
140,34,20,19,30,48,0.30761818
140,34,20,19,30,55,0.31922868
140,34,20,14,30,20,0.27520172
140,34,20,14,30,27,0.27857917
140,34,20,14,30,34,0.28352949
140,34,20,14,30,41,0.28995596
140,34,20,14,30,48,0.29738346
140,34,20,14,30,55,0.30572442
140,34,20,9,30,20,0.26686319
140,34,20,9,30,27,0.2692772
140,34,20,9,30,34,0.27341787
140,34,20,9,30,41,0.2786612
140,34,20,9,30,48,0.28435116
140,34,20,9,30,55,0.28976467
145,34,16,19,30,20,0.39495631
145,34,16,19,30,27,0.4015766
145,34,16,19,30,34,0.40987959
145,34,16,19,30,41,0.41947686
145,34,16,19,30,48,0.43054076
145,34,16,19,30,55,0.44020384
145,34,16,14,30,20,0.38969474
145,34,16,14,30,27,0.39626674
145,34,16,14,30,34,0.40366039
145,34,16,14,30,41,0.41085717
145,34,16,14,30,48,0.41830799
145,34,16,14,30,55,0.4236197
145,34,16,9,30,20,0.38118094
145,34,16,9,30,27,0.38655938
145,34,16,9,30,34,0.39209561
145,34,16,9,30,41,0.39720259
145,34,18,9,30,48,0.40186254
145,34,18,9,30,55,0.40463891
145,34,18,19,30,20,0.38725008
145,34,18,19,30,27,0.39308206
145,34,18,19,30,34,0.40097086
145,34,18,19,30,41,0.41080557
145,34,18,19,30,48,0.42290451
145,34,18,19,30,55,0.43391907
145,34,18,14,30,20,0.38311153
145,34,18,14,30,27,0.38896308
145,34,18,14,30,34,0.39636085
145,34,18,14,30,41,0.40451652
145,34,18,14,30,48,0.41293981
145,34,18,14,30,55,0.41940714
145,34,18,9,30,20,0.37538248
145,34,18,9,30,27,0.38078613
145,34,18,9,30,34,0.38668625
145,34,18,9,30,41,0.39244347
145,34,18,9,30,48,0.39787989
145,34,18,9,30,55,0.40156273
145,34,20,19,30,20,0.37808822
145,34,20,19,30,27,0.3823809
145,34,20,19,30,34,0.38926267
145,34,20,19,30,41,0.39906891
145,34,20,19,30,48,0.41180837
145,34,20,19,30,55,0.42470899
145,34,20,14,30,20,0.37469136
145,34,20,14,30,27,0.3802659
145,34,20,14,30,34,0.38753709
145,34,20,14,30,41,0.39602
145,34,20,14,30,48,0.40554635
145,34,20,14,30,55,0.41359753
145,34,20,9,30,20,0.36851451
145,34,20,9,30,27,0.3738726
145,34,20,9,30,34,0.37996619
145,34,20,9,30,41,0.38651446
145,34,20,9,30,48,0.39301255
145,34,20,9,30,55,0.39747901
150,34,16,19,30,20,0.46763674
150,34,16,19,30,27,0.47527256
150,34,16,19,30,34,0.48535624
150,34,16,19,30,41,0.49641607
150,34,16,19,30,48,0.50782588
150,34,16,19,30,55,0.51810949
150,34,16,14,30,20,0.47081402
150,34,16,14,30,27,0.47812195
150,34,16,14,30,34,0.48653329
