G,L2,R2,W3,cg_R1,cg_R2,S11_Linear,S11_Real,S11_Img
140,34,16,19,30,20,0.29675918,0.18105706256322,-0.23236397110449
140,34,16,19,30,27,0.30072688,0.17748348807542,-0.24016524939939
140,34,16,19,30,34,0.30669104,0.17433658972792,-0.25002243404407
140,34,16,19,30,41,0.3145694,0.17326917754806,-0.26049782987975
140,34,16,19,30,48,0.32380909,0.17412257867801,-0.27118674225707
140,34,16,19,30,55,0.33361586,0.17707689331948,-0.28105340036262
140,34,16,14,30,20,0.28697218,0.19314909553636,-0.20813097332441
140,34,16,14,30,27,0.29139362,0.19181747353751,-0.21555413009771
140,34,16,14,30,34,0.29716293,0.19167714469043,-0.22360803358917
140,34,16,14,30,41,0.30391007,0.19311469501587,-0.23146356203639
140,34,16,14,30,48,0.31100492,0.19590376695062,-0.23856658430462
140,34,16,14,30,55,0.31747845,0.19949444872634,-0.2440520411841
140,34,16,9,30,20,0.27684906,0.20062255305776,-0.18530842067539
140,34,16,9,30,27,0.28070918,0.2005980725189,-0.19118068702586
140,34,16,9,30,34,0.28545974,0.20175109973474,-0.19705398276152
140,34,16,9,30,41,0.29050311,0.20381421664685,-0.20232049129589
140,34,18,9,30,48,0.29529128,0.20623836966536,-0.20683411729171
140,34,18,9,30,55,0.30021665,0.20996493847591,-0.21025869617159
140,34,18,19,30,20,0.2910202,0.17452168650352,-0.23026930608515
140,34,18,19,30,27,0.29433591,0.16979560539954,-0.23797303675743
140,34,18,19,30,34,0.29970202,0.1656933250931,-0.24750763025542
140,34,18,19,30,41,0.307498,0.16278466665082,-0.25896400868367
140,34,18,19,30,48,0.31709428,0.1620159050894,-0.27091336585677
140,34,18,19,30,55,0.32782744,0.16314269226635,-0.28291856890201
140,34,18,14,30,20,0.28187534,0.18740565816344,-0.20664877119305
140,34,18,14,30,27,0.28525275,0.18502500477583,-0.21330527907144
140,34,18,14,30,34,0.29120727,0.18396901985099,-0.22240782154519
140,34,18,14,30,41,0.29745233,0.18453505926566,-0.23007392266093
140,34,18,14,30,48,0.30529473,0.18659121546492,-0.23876169656934
140,34,18,14,30,55,0.31256035,0.18968177908517,-0.24569040080878
140,34,18,9,30,20,0.2720988,0.19578120382725,-0.18350915233145
140,34,18,9,30,27,0.27579921,0.19514266446879,-0.18977882365748
140,34,18,9,30,34,0.2800068,0.1953181765261,-0.19570515944939
140,34,18,9,30,41,0.28568183,0.19728185105791,-0.20205875461423
140,34,18,9,30,48,0.29038028,0.19872607597922,-0.20735342309651
140,34,18,9,30,55,0.29535051,0.20165722448423,-0.21162798441391
140,34,20,19,30,20,0.28434725,0.16847473451374,-0.22656917444701
140,34,20,19,30,27,0.2864977,0.16166332046077,-0.23426801376643
140,34,20,19,30,34,0.29090084,0.1556466657464,-0.24374084953254
140,34,20,19,30,41,0.29807541,0.15108997900358,-0.25516890041555
140,34,20,19,30,48,0.30761818,0.1478156948428,-0.2682832352992
140,34,20,19,30,55,0.31922868,0.14711637107388,-0.28203779912695
140,34,20,14,30,20,0.27520172,0.18161529539376,-0.20281651784491
140,34,20,14,30,27,0.27857917,0.17819010791889,-0.21053720463722
140,34,20,14,30,34,0.28352949,0.17575891590325,-0.2192102278185
140,34,20,14,30,41,0.28995596,0.17499277287328,-0.22815105760299
140,34,20,14,30,48,0.29738346,0.17553639000448,-0.23720871551983
140,34,20,14,30,55,0.30572442,0.17789559200374,-0.24604664125715
140,34,20,9,30,20,0.26686319,0.19096995966316,-0.18099620285625
140,34,20,9,30,27,0.2692772,0.18871345754027,-0.18680995553039
140,34,20,9,30,34,0.27341787,0.18792399809269,-0.19366078918759
140,34,20,9,30,41,0.2786612,0.18871560212869,-0.2003970411588
140,34,20,9,30,48,0.28435116,0.19080519660072,-0.20644192608559
140,34,20,9,30,55,0.28976467,0.19312687180215,-0.21189741849113
145,34,16,19,30,20,0.39495631,0.17643497196826,-0.353240573853
145,34,16,19,30,27,0.4015766,0.1728345737346,-0.36239000082486
145,34,16,19,30,34,0.40987959,0.17057997671415,-0.37262522817618
145,34,16,19,30,41,0.41947686,0.17039935795889,-0.38325251665719
145,34,16,19,30,48,0.43054076,0.17220559629839,-0.39456437555872
145,34,16,19,30,55,0.44020384,0.17583241636257,-0.40353525831553
145,34,16,14,30,20,0.38969474,0.19210518437688,-0.33882710441562
145,34,16,14,30,27,0.39626674,0.19176547442601,-0.34657921916341
145,34,16,14,30,34,0.40366039,0.1926732630589,-0.35453822785207
145,34,16,14,30,41,0.41085717,0.19495896944299,-0.36149904075835
145,34,16,14,30,48,0.41830799,0.19829786622504,-0.36818124306119
145,34,16,14,30,55,0.4236197,0.20219328354606,-0.37211874055667
145,34,16,9,30,20,0.38118094,0.20346889778598,-0.32199856532289
145,34,16,9,30,27,0.38655938,0.20435701070499,-0.32781614006908
145,34,16,9,30,34,0.39209561,0.20605216027547,-0.33330017347858
145,34,16,9,30,41,0.39720259,0.20908085454457,-0.33744401346476
145,34,18,9,30,48,0.40186254,0.21202575988065,-0.34111574607134
145,34,18,9,30,55,0.40463891,0.21462912506681,-0.34278648778307
145,34,18,19,30,20,0.38725008,0.16959762173637,-0.34803475649659
145,34,18,19,30,27,0.39308206,0.16436603339995,-0.35698968468006
145,34,18,19,30,34,0.40097086,0.16026038436608,-0.36749301978508
145,34,18,19,30,41,0.41080557,0.15791113686387,-0.3792001035882
145,34,18,19,30,48,0.42290451,0.15784906803739,-0.39231878507427
